First Name,Last Name,Email Address,Company,Position,Connected On
Jill,Harris,emmacunningham@strong.com,Autonomo,Fotógrafo freelancer,21 Jul 2015
Casey,Stokes,smithmichael@gonzales.biz,MZT Industria mecanica,Programador cnc,15 Jul 2015
Jennifer,Brown,nelsoncaroline@yahoo.com,Ligar Design&Mkt,Diretor de marketing,09 Jul 2015
Andrea,Jones,andrethomas@gmail.com,GE Power Conversion,Assistente administrativo,08 Jul 2015
Jack,Cain,jonathanjohnson@wolfe-jensen.biz,DHL Supply Chain,Analista de Projetos Logísticos Sênior,07 Jul 2015
Molly,Avila,alicia90@bentley.biz,,,
Nicholas,Paul,morganraymond@gmail.com,RGL Engenharia ,Técnico em segurança do trabalho,09 Jun 2015
Mary,Palmer,brandon56@burgess.com,Biomm,Comprador,08 Jun 2015
Emily,Koch,jesusking@fuller.net,Embraer,Projetista - Estruturas Aeronáuticas,07 Jun 2015
Jennifer,Rios,elizabeth34@hotmail.com,RedZinc,Software Engineer (Remote),05 Jun 2015
Karen,James,yeverett@gmail.com,Ao Cubo Criativo - Marketing Digital,CEO e Diretor de Criação,05 Jun 2015
Heather,Porter,felicia48@hotmail.com,Marcolin,Sales Representative in Marcolin Group,04 Jun 2015
Teresa,Christensen,seanmartin@yahoo.com,D&M Agência - Design e Marketing,CEO  - Art Director and new accounts,03 Jun 2015
Joseph,Gregory,leah50@hotmail.com,Duratex,Key Account Deca / Hydra,02 Jun 2015
Michael,Kane,ojoseph@mcdonald-james.org,Owens Illinois Americas South,Trainee,01 Jun 2015
Ashley,Phillips,rhondaanderson@huffman.com,Médicos Sem Fronteiras Brasil / Médecins Sans Frontières Brésil - MSF,Supply Chain Coordinator LATAM,31 May 2015
George,Hughes,alison74@gmail.com,Herkenhoff & Prates,Consultora em projetos socioambientais | Monitoramento e avaliação | ,30 May 2015
Nathaniel,Duffy,jamesfernandez@gmail.com,Valspe,Security Tecnology Fortinet - SonicWall ,29 May 2015
Kimberly,Walsh,mitchelldavid@cruz.com,Termotécnica Para-raios,Coordenador de PCP / Estoques,27 May 2015
Jake,Case,ballardjessica@gmail.com,Elevatio,CEO,26 May 2015
Diana,Moore,nicholas70@yahoo.com,BH CROMOS,AUXILIAR ADMINISTRATIVO E FINANCEIRO,26 May 2015
Katelyn,Benson,gomezjacob@yahoo.com,Konica Minolta Healthcare do Brasil,International Purchaser,26 May 2015
Brandon,Johnson,irice@gmail.com,Take Blip, Senior Smarketing Analyst,26 May 2015
Destiny,Delgado,diana74@hotmail.com,Delly's Food Service,Grupo Dellys - Oesa/ Baia Norte,25 May 2015
Betty,Mason,patricia65@gmail.com,CAAR Do Brasil Consultoria Técnica Ltda.,Project Chief,25 May 2015
Marissa,Anderson,wmendez@yahoo.com,Servo Automação,Consultor Técnico de Vendas,25 May 2015
Katelyn,Jones,davisjordan@green.com,Contabilidade Atualizada,Contadora ,25 May 2015
Maurice,Allison,courtney80@horton.com,SoftwareONE Brasil,Sales Manager,25 May 2015
Matthew,Black,kellylaura@hotmail.com,Humana Desenvolvimento,Gerente de recursos humanos,25 May 2015
